date,intake,cbp_custody,transferred_to_hhs,hhs_care,discharged,is_reported,net_pressure,day_of_week,month,is_month_start,is_month_end,hhs_care_lag1,hhs_care_lag7,hhs_care_lag14,hhs_care_roll_mean7,hhs_care_roll_std7,hhs_care_roll_mean14,hhs_care_roll_std14,discharged_lag1,discharged_lag7,discharged_lag14,discharged_roll_mean7,discharged_roll_std7,discharged_roll_mean14,discharged_roll_std14,net_pressure_roll7
2023-01-12,33.0,53.0,34.0,6566.0,436.0,True,-402.0,3,1,0,0,,,,,,,,,,,,,,,
2023-01-13,33.0,52.6,34.0,6621.6,415.0,False,-381.0,4,1,0,0,6566.0,,,,,,,436.0,,,,,,,
2023-01-14,33.0,52.2,35.0,6677.2,394.0,False,-359.0,5,1,0,0,6621.6,,,,,,,415.0,,,,,,,
2023-01-15,33.0,51.8,36.0,6732.8,373.0,False,-337.0,6,1,0,0,6677.2,,,,,,,394.0,,,,,,,
2023-01-16,33.0,51.4,36.0,6788.4,352.0,False,-316.0,0,1,0,0,6732.8,,,,,,,373.0,,,,,,,
2023-01-17,32.0,51.0,36.0,6844.0,332.0,False,-296.0,1,1,0,0,6788.4,,,,,,,352.0,,,,,,,
2023-01-18,32.0,50.6,37.0,6899.6,311.0,False,-274.0,2,1,0,0,6844.0,,,,,,,332.0,,,,,,,
2023-01-19,32.0,50.2,38.0,6955.2,290.0,False,-252.0,3,1,0,0,6899.6,6566.0,,6732.8,120.10972761049176,,,311.0,436.0,,373.2857142857143,44.9804190202592,,,-337.85714285714283
2023-01-20,32.0,49.8,38.0,7010.8,269.0,False,-231.0,4,1,0,0,6955.2,6621.6,,6788.400000000001,120.10972761049108,,,290.0,415.0,,352.42857142857144,44.90307021001697,,,-316.42857142857144
2023-01-21,32.0,49.4,38.0,7066.4,248.0,False,-210.0,5,1,0,0,7010.8,6677.2,,6844.0,120.1097276104904,,,269.0,394.0,,331.57142857142856,44.90307021001694,,,-295.0
2023-01-22,32.0,49.0,39.0,7122.0,227.0,True,-188.0,6,1,0,0,7066.4,6732.8,,6899.599999999999,120.10972761048937,,,248.0,373.0,,310.7142857142857,44.98041902025912,,,-273.7142857142857
2023-01-23,32.0,50.0,39.0,7280.0,181.0,True,-142.0,0,1,0,0,7122.0,6788.4,,6955.2,120.1097276104887,,,227.0,352.0,,289.85714285714283,45.13471897711167,,,-252.42857142857142
2023-01-24,47.0,42.0,47.0,7433.0,175.0,True,-128.0,1,1,0,0,7280.0,6844.0,,7025.428571428572,147.02976698937943,,,181.0,332.0,,265.42857142857144,51.69415551380729,,,-227.57142857142858
2023-01-25,20.0,22.0,41.0,7538.0,180.0,True,-139.0,2,1,0,0,7433.0,6899.6,,7109.571428571428,188.5667495811961,,,175.0,311.0,,243.0,52.05445866269898,,,-203.57142857142858
2023-01-26,21.0,27.75,34.0,7521.5,211.0,False,-177.0,3,1,0,0,7538.0,6955.2,6566.0,7200.771428571429,221.5797351916849,6966.785714285715,297.11872233979886,180.0,290.0,436.0,224.28571428571428,46.817782539380524,298.7857142857143,89.00922905599653,-184.28571428571428
2023-01-27,22.0,33.5,26.0,7505.0,242.0,False,-216.0,4,1,0,0,7521.5,7010.8,6621.6,7281.671428571428,220.35323698012002,7035.035714285715,307.53359192913274,211.0,269.0,415.0,213.0,36.78314831549846,282.7142857142857,82.39532153580694,-173.57142857142858
2023-01-28,22.0,39.25,18.0,7488.5,272.0,False,-254.0,5,1,0,0,7505.0,7066.4,6677.2,7352.271428571429,197.03937605027954,7098.135714285714,306.8067083990836,242.0,248.0,394.0,209.14285714285714,30.873011792548077,270.35714285714283,73.52509476661395,-171.42857142857142
2023-01-29,23.0,45.0,11.0,7472.0,303.0,True,-292.0,6,1,0,0,7488.5,7122.0,6732.8,7412.571428571428,155.09685913738977,7156.085714285714,297.66749611228477,272.0,227.0,373.0,212.57142857142858,36.69176630097918,261.64285714285717,64.40808255879926,-177.71428571428572
2023-01-30,34.0,54.0,29.0,7743.0,196.0,True,-167.0,0,1,0,0,7472.0,7280.0,6788.4,7462.571428571428,87.49306094933036,7208.885714285714,281.9545076703032,303.0,181.0,352.0,223.42857142857142,50.36816833032887,256.64285714285717,57.438404658123396,-192.57142857142858
2023-01-31,26.0,36.0,36.0,7803.0,158.0,True,-122.0,1,1,0,1,7743.0,7433.0,6844.0,7528.714285714285,100.510305086438,7277.071428571428,287.8111331266508,196.0,175.0,332.0,225.57142857142858,48.548453950175855,245.5,52.42980655490365,-196.14285714285714
2023-02-01,25.0,32.0,27.0,7903.0,231.0,True,-204.0,2,2,1,0,7803.0,7538.0,6899.6,7581.571428571428,133.62148921842538,7345.571428571428,290.9158917005982,158.0,180.0,311.0,223.14285714285714,51.81514762894618,233.07142857142858,50.95014801173383,-195.28571428571428
2023-02-02,15.0,13.0,23.0,7879.0,298.0,True,-275.0,3,2,0,0,7903.0,7521.5,6955.2,7633.714285714285,177.72353463146683,7417.242857142856,296.14675601616676,231.0,211.0,290.0,230.42857142857142,48.197016307571865,227.35714285714286,45.75958435606209,-204.57142857142858
2023-02-03,15.0,14.666666666666666,20.0,7781.333333333333,313.0,False,-293.0,4,2,0,0,7879.0,7505.0,7010.8,7684.785714285715,190.97509810243739,7483.228571428571,288.086013941269,298.0,242.0,269.0,242.85714285714286,53.29924505853246,227.92857142857142,46.643433515446645,-218.57142857142858
2023-02-04,16.0,16.333333333333332,18.0,7683.666666666667,327.0,False,-309.0,5,2,0,0,7781.333333333333,7488.5,7066.4,7724.2619047619055,175.55572759685467,7538.2666666666655,263.43663309820255,313.0,272.0,248.0,253.0,59.503501297542535,231.07142857142858,50.91087882189409,-229.57142857142858
2023-02-05,16.0,18.0,15.0,7586.0,342.0,True,-327.0,6,2,0,0,7683.666666666667,7472.0,7122.0,7752.142857142857,144.6500063554162,7582.357142857143,227.60502278737934,327.0,303.0,227.0,260.85714285714283,65.73540033454456,236.71428571428572,56.951299804750306,-237.42857142857142
2023-02-06,11.0,22.0,12.0,7720.0,196.0,True,-184.0,0,2,0,0,7586.0,7743.0,7280.0,7768.428571428572,110.15791935110624,7615.5,185.25634815010105,342.0,196.0,181.0,266.42857142857144,71.31820044200289,244.92857142857142,63.37369544791654,-242.42857142857142
2023-02-07,16.0,20.0,20.0,7855.0,200.0,True,-180.0,1,2,0,0,7720.0,7803.0,7433.0,7765.142857142857,111.37904203793748,7646.928571428572,159.49205850986286,196.0,158.0,175.0,266.42857142857144,71.31820044200289,246.0,62.32791694553279,-244.85714285714286
2023-02-08,93.0,196.0,169.0,7915.0,317.0,True,-148.0,2,2,0,0,7855.0,7903.0,7538.0,7772.571428571428,115.96450834528994,7677.071428571428,155.78543366790754,200.0,231.0,180.0,272.42857142857144,61.808459892523665,247.78571428571428,60.46763733465338,-253.14285714285714
2023-02-09,124.0,234.0,161.0,7908.0,353.0,True,-192.0,3,2,0,0,7915.0,7879.0,7521.5,7774.285714285715,118.27955406599462,7704.0,162.34232323866286,317.0,298.0,211.0,284.7142857142857,60.73909857116827,257.57142857142856,59.73494568729212,-245.14285714285714
2023-02-10,113.0,223.66666666666666,165.0,7750.0,341.0,False,-176.0,4,2,0,0,7908.0,7781.333333333333,7505.0,7778.428571428572,122.97330548713204,7731.607142857143,161.78213702254436,353.0,313.0,242.0,292.57142857142856,66.06778625739163,267.7142857142857,63.175492535815344,-233.28571428571428
2023-02-11,103.0,213.33333333333334,169.0,7592.0,329.0,False,-160.0,5,2,0,0,7750.0,7683.666666666667,7488.5,7773.952380952381,123.41940368656317,7749.107142857143,148.052739609016,341.0,327.0,272.0,296.57142857142856,68.31997546559172,274.7857142857143,65.57107543777164,-216.57142857142858
2023-02-12,92.0,203.0,173.0,7434.0,317.0,True,-144.0,6,2,0,0,7592.0,7586.0,7472.0,7760.857142857143,138.53330354277213,7756.5,136.14369922109208,329.0,342.0,303.0,296.85714285714283,68.47244840427571,278.85714285714283,67.13574898076878,-195.28571428571428
2023-02-13,186.0,259.0,172.0,7483.0,244.0,True,-72.0,0,2,0,0,7434.0,7720.0,7743.0,7739.142857142857,177.06348067987884,7753.785714285715,142.48326380307552,317.0,196.0,196.0,293.2857142857143,66.34433983823665,279.85714285714283,67.62550399966567,-169.14285714285714
2023-02-14,154.0,225.0,220.0,7794.0,223.0,True,-3.0,1,2,0,0,7483.0,7855.0,7803.0,7705.285714285715,202.2075783987889,7735.214285714285,159.87958113523078,244.0,200.0,158.0,300.14285714285717,56.339531921581205,283.2857142857143,64.17575455362778,-153.14285714285714
